"ID"	"Birth.Date"	"Min.Birth.Date"	"Max.Birth.Date"	"Entry.Date"	"Depart.Date"	"Depart.Type"
"26"	1954-05-31	1950-01-01	1955-01-01	1955-01-01	1984-06-06	"D"
"27"	1966-12-28	1966-12-28	1966-12-28	1966-12-28	2000-01-01	"C"
"28"	1958-04-12	1958-04-12	1958-04-12	1958-04-12	1959-03-12	"D"
"29"	1966-06-03	1966-06-03	1966-06-03	1966-06-03	2000-01-01	"C"
"30"	1955-06-07	1955-06-07	1955-06-07	1955-06-07	1970-08-12	"D"
"31"	1968-04-27	1968-04-27	1968-04-27	1968-04-27	1968-11-27	"D"
"32"	1953-11-12	1950-01-01	1955-01-01	1955-01-01	1998-07-12	"D"
"33"	1954-11-29	1950-01-01	1955-01-01	1955-01-01	1975-03-18	"D"
"34"	1964-07-25	1964-07-25	1964-07-25	1964-07-25	1966-06-03	"D"
"35"	1969-01-11	1969-01-11	1969-01-11	1969-01-11	1969-01-19	"D"
"37"	1963-08-19	1963-08-19	1963-08-19	1963-08-19	2000-01-01	"C"
"38"	1960-12-23	1960-12-23	1960-12-23	1960-12-23	1961-07-03	"D"
"39"	1959-01-08	1959-01-08	1959-01-08	1959-01-08	1959-07-23	"D"
"40"	1962-02-22	1962-02-22	1962-02-22	1962-02-22	1982-10-24	"D"
"42"	1954-07-25	1950-01-01	1955-01-01	1955-01-01	1986-08-24	"D"
"43"	1965-02-06	1965-02-06	1965-02-06	1965-02-06	2000-01-01	"C"
"44"	1967-01-31	1967-01-31	1967-01-31	1967-01-31	2000-01-01	"C"
"45"	1967-03-29	1967-03-29	1967-03-29	1967-03-29	1967-05-10	"D"
"46"	1969-09-15	1969-09-15	1969-09-15	1969-09-15	1970-06-11	"D"
"47"	1957-12-16	1957-12-16	1957-12-16	1957-12-16	1958-05-14	"D"
"48"	1952-07-26	1950-01-01	1955-01-01	1955-01-01	1976-05-14	"D"
"49"	1955-09-28	1955-09-28	1955-09-28	1955-09-28	1956-07-18	"D"
"50"	1966-01-12	1966-01-12	1966-01-12	1966-01-12	1966-01-25	"D"
"52"	1968-01-14	1968-01-14	1968-01-14	1968-01-14	1968-04-05	"D"
"54"	1959-11-28	1959-11-28	1959-11-28	1959-11-28	1960-03-14	"D"
"55"	1960-10-29	1960-10-29	1960-10-29	1960-10-29	1961-02-05	"D"
"56"	1954-06-27	1950-01-01	1955-01-01	1955-01-01	1995-05-24	"D"
"57"	1961-08-23	1961-08-23	1961-08-23	1961-08-23	1983-03-26	"D"
"58"	1955-06-01	1955-06-01	1955-06-01	1955-06-01	1955-09-18	"D"
"59"	1968-05-31	1968-05-31	1968-05-31	1968-05-31	1968-11-04	"D"
"60"	1955-11-16	1955-11-16	1955-11-16	1955-11-16	1990-02-19	"D"
"61"	1958-01-29	1958-01-29	1958-01-29	1958-01-29	2000-01-01	"C"
"62"	1958-03-29	1958-03-29	1958-03-29	1958-03-29	1994-06-15	"D"
"63"	1957-08-13	1957-08-13	1957-08-13	1957-08-13	1980-08-06	"D"
"64"	1955-03-06	1955-03-06	1955-03-06	1955-03-06	1957-04-15	"D"
"65"	1963-10-15	1963-10-15	1963-10-15	1963-10-15	1997-10-31	"D"
"66"	1952-06-02	1950-01-01	1955-01-01	1955-01-01	1957-12-16	"D"
"68"	1962-02-21	1962-02-21	1962-02-21	1962-02-21	1962-05-27	"D"
"69"	1954-12-19	1950-01-01	1955-01-01	1955-01-01	1984-04-08	"D"
"70"	1954-09-27	1950-01-01	1955-01-01	1955-01-01	1955-03-09	"D"
"71"	1957-01-21	1957-01-21	1957-01-21	1957-01-21	1957-05-03	"D"
"72"	1958-12-13	1958-12-13	1958-12-13	1958-12-13	1959-05-08	"D"
"74"	1967-12-15	1967-12-15	1967-12-15	1967-12-15	1967-12-26	"D"
"75"	1959-01-26	1959-01-26	1959-01-26	1959-01-26	1959-06-09	"D"
"76"	1958-07-13	1958-07-13	1958-07-13	1958-07-13	1995-01-03	"D"
"77"	1962-01-12	1962-01-12	1962-01-12	1962-01-12	2000-01-01	"C"
"78"	1968-01-10	1968-01-10	1968-01-10	1968-01-10	1968-05-04	"D"
"79"	1956-08-16	1956-08-16	1956-08-16	1956-08-16	1957-03-22	"D"
"81"	1969-07-15	1969-07-15	1969-07-15	1969-07-15	2000-01-01	"C"
"82"	1952-04-12	1950-01-01	1955-01-01	1955-01-01	1985-02-03	"D"
"83"	1956-03-10	1956-03-10	1956-03-10	1956-03-10	1956-08-16	"D"
"85"	1969-03-04	1969-03-04	1969-03-04	1969-03-04	1969-07-31	"D"
"86"	1963-10-30	1963-10-30	1963-10-30	1963-10-30	1964-04-09	"D"
"87"	1968-08-04	1968-08-04	1968-08-04	1968-08-04	1995-07-16	"D"
"88"	1957-01-03	1957-01-03	1957-01-03	1957-01-03	1975-07-04	"D"
"89"	1956-02-22	1956-02-22	1956-02-22	1956-02-22	1985-01-10	"D"
"90"	1964-07-27	1964-07-27	1964-07-27	1964-07-27	2000-01-01	"C"
"91"	1963-09-09	1963-09-09	1963-09-09	1963-09-09	1964-02-20	"D"
"92"	1951-10-14	1950-01-01	1955-01-01	1955-01-01	1962-11-01	"D"
"94"	1952-06-19	1950-01-01	1955-01-01	1955-01-01	1984-11-21	"D"
"96"	1968-07-09	1968-07-09	1968-07-09	1968-07-09	2000-01-01	"C"
"97"	1960-03-24	1960-03-24	1960-03-24	1960-03-24	1998-06-19	"D"
"98"	1964-01-14	1964-01-14	1964-01-14	1964-01-14	1964-05-23	"D"
"99"	1955-03-30	1955-03-30	1955-03-30	1955-03-30	1956-11-29	"D"
"100"	1960-11-27	1960-11-27	1960-11-27	1960-11-27	1960-12-12	"D"
"101"	1963-01-10	1963-01-10	1963-01-10	1963-01-10	1984-07-12	"D"
"102"	1952-11-02	1950-01-01	1955-01-01	1955-01-01	1992-05-02	"D"
"103"	1968-02-15	1968-02-15	1968-02-15	1968-02-15	1990-10-03	"D"
"104"	1959-11-09	1959-11-09	1959-11-09	1959-11-09	1975-12-30	"D"
"105"	1958-02-16	1958-02-16	1958-02-16	1958-02-16	1998-04-04	"D"
"106"	1963-09-18	1963-09-18	1963-09-18	1963-09-18	1963-10-25	"D"
"107"	1964-08-07	1964-08-07	1964-08-07	1964-08-07	2000-01-01	"C"
"108"	1960-04-01	1960-04-01	1960-04-01	1960-04-01	1979-09-22	"D"
"109"	1952-02-26	1950-01-01	1955-01-01	1955-01-01	1958-11-22	"D"
"110"	1954-02-08	1950-01-01	1955-01-01	1955-01-01	1955-07-27	"D"
"112"	1969-11-15	1969-11-15	1969-11-15	1969-11-15	2000-01-01	"C"
"113"	1954-10-03	1950-01-01	1955-01-01	1955-01-01	1957-01-26	"D"
"114"	1964-09-11	1964-09-11	1964-09-11	1964-09-11	2000-01-01	"C"
"115"	1959-11-27	1959-11-27	1959-11-27	1959-11-27	1991-07-25	"D"
"116"	1960-02-19	1960-02-19	1960-02-19	1960-02-19	1963-11-05	"D"
"117"	1961-11-19	1961-11-19	1961-11-19	1961-11-19	1999-06-25	"D"
"118"	1964-03-04	1964-03-04	1964-03-04	1964-03-04	1964-08-03	"D"
"119"	1956-01-30	1956-01-30	1956-01-30	1956-01-30	1988-02-27	"D"
"120"	1956-09-10	1956-09-10	1956-09-10	1956-09-10	1956-09-11	"D"
"122"	1960-12-01	1960-12-01	1960-12-01	1960-12-01	1964-10-19	"D"
"123"	1963-10-01	1963-10-01	1963-10-01	1963-10-01	1999-03-02	"D"
"124"	1963-07-13	1963-07-13	1963-07-13	1963-07-13	2000-01-01	"C"
"125"	1954-11-24	1950-01-01	1955-01-01	1955-01-01	1998-04-28	"D"
"127"	1964-07-19	1964-07-19	1964-07-19	1964-07-19	2000-01-01	"C"
"129"	1967-05-23	1967-05-23	1967-05-23	1967-05-23	2000-01-01	"C"
"130"	1964-06-22	1964-06-22	1964-06-22	1964-06-22	1965-03-31	"D"
"131"	1954-12-11	1950-01-01	1955-01-01	1955-01-01	1981-09-03	"D"
"133"	1963-09-20	1963-09-20	1963-09-20	1963-09-20	2000-01-01	"C"
"134"	1952-03-23	1950-01-01	1955-01-01	1955-01-01	1989-02-26	"D"
"137"	1957-05-14	1957-05-14	1957-05-14	1957-05-14	1979-06-24	"D"
"138"	1958-10-10	1958-10-10	1958-10-10	1958-10-10	1990-06-13	"D"
"139"	1968-04-18	1968-04-18	1968-04-18	1968-04-18	1968-09-26	"D"
"140"	1965-03-15	1965-03-15	1965-03-15	1965-03-15	1986-11-17	"D"
"141"	1950-08-09	1950-01-01	1955-01-01	1955-01-01	1985-06-06	"D"
"142"	1969-06-27	1969-06-27	1969-06-27	1969-06-27	2000-01-01	"C"
"143"	1954-02-12	1950-01-01	1955-01-01	1955-01-01	1955-03-05	"D"
"144"	1963-06-04	1963-06-04	1963-06-04	1963-06-04	1964-03-09	"D"
"145"	1959-05-18	1959-05-18	1959-05-18	1959-05-18	1960-07-14	"D"
"146"	1961-04-09	1961-04-09	1961-04-09	1961-04-09	1961-07-21	"D"
"147"	1964-03-20	1964-03-20	1964-03-20	1964-03-20	2000-01-01	"C"
"148"	1968-06-23	1968-06-23	1968-06-23	1968-06-23	1969-09-26	"D"
"149"	1963-11-26	1963-11-26	1963-11-26	1963-11-26	2000-01-01	"C"
"150"	1964-07-08	1964-07-08	1964-07-08	1964-07-08	1994-06-10	"D"
"151"	1966-12-05	1966-12-05	1966-12-05	1966-12-05	1967-03-01	"D"
"152"	1959-09-04	1959-09-04	1959-09-04	1959-09-04	1981-06-17	"D"
"155"	1963-12-29	1963-12-29	1963-12-29	1963-12-29	2000-01-01	"C"
"156"	1964-05-20	1964-05-20	1964-05-20	1964-05-20	2000-01-01	"C"
"157"	1960-02-25	1960-02-25	1960-02-25	1960-02-25	1993-05-21	"D"
"158"	1960-09-20	1960-09-20	1960-09-20	1960-09-20	2000-01-01	"C"
"159"	1963-10-16	1963-10-16	1963-10-16	1963-10-16	1963-12-19	"D"
"160"	1968-12-10	1968-12-10	1968-12-10	1968-12-10	1971-01-22	"D"
"161"	1958-06-10	1958-06-10	1958-06-10	1958-06-10	1993-08-03	"D"
"162"	1956-03-17	1956-03-17	1956-03-17	1956-03-17	1999-10-08	"D"
"163"	1960-05-15	1960-05-15	1960-05-15	1960-05-15	1997-08-07	"D"
"164"	1962-09-18	1962-09-18	1962-09-18	1962-09-18	1963-04-15	"D"
"165"	1961-04-02	1961-04-02	1961-04-02	1961-04-02	1961-04-24	"D"
"166"	1967-03-26	1967-03-26	1967-03-26	1967-03-26	1967-08-21	"D"
"167"	1967-06-07	1967-06-07	1967-06-07	1967-06-07	1968-04-06	"D"
"168"	1964-02-25	1964-02-25	1964-02-25	1964-02-25	2000-01-01	"C"
"169"	1965-12-19	1965-12-19	1965-12-19	1965-12-19	1987-11-11	"D"
"170"	1957-06-02	1957-06-02	1957-06-02	1957-06-02	1958-01-04	"D"
"171"	1967-10-27	1967-10-27	1967-10-27	1967-10-27	1969-04-10	"D"
"172"	1965-08-16	1965-08-16	1965-08-16	1965-08-16	1965-09-25	"D"
"173"	1960-04-17	1960-04-17	1960-04-17	1960-04-17	1990-06-05	"D"
"174"	1959-03-19	1959-03-19	1959-03-19	1959-03-19	1961-05-28	"D"
"175"	1962-10-04	1962-10-04	1962-10-04	1962-10-04	1963-06-25	"D"
"176"	1969-09-06	1969-09-06	1969-09-06	1969-09-06	1970-06-27	"D"
"177"	1967-04-18	1967-04-18	1967-04-18	1967-04-18	1998-10-27	"D"
"178"	1966-12-28	1966-12-28	1966-12-28	1966-12-28	2000-01-01	"C"
"179"	1967-11-21	1967-11-21	1967-11-21	1967-11-21	1968-02-28	"D"
"181"	1967-02-23	1967-02-23	1967-02-23	1967-02-23	1998-08-13	"D"
"182"	1953-12-15	1950-01-01	1955-01-01	1955-01-01	1984-08-18	"D"
"183"	1958-11-03	1958-11-03	1958-11-03	1958-11-03	2000-01-01	"C"
"184"	1959-11-25	1959-11-25	1959-11-25	1959-11-25	1960-12-24	"D"
"185"	1955-01-22	1955-01-22	1955-01-22	1955-01-22	1986-03-19	"D"
"186"	1963-07-06	1963-07-06	1963-07-06	1963-07-06	2000-01-01	"C"
"187"	1950-08-04	1950-01-01	1955-01-01	1955-01-01	1985-08-28	"D"
"188"	1967-03-25	1967-03-25	1967-03-25	1967-03-25	1968-06-21	"D"
"189"	1968-03-12	1968-03-12	1968-03-12	1968-03-12	2000-01-01	"C"
"190"	1967-11-16	1967-11-16	1967-11-16	1967-11-16	1971-05-03	"D"
"191"	1968-06-09	1968-06-09	1968-06-09	1968-06-09	1968-07-11	"D"
"192"	1956-06-05	1956-06-05	1956-06-05	1956-06-05	1979-04-20	"D"
"193"	1959-12-12	1959-12-12	1959-12-12	1959-12-12	1992-12-18	"D"
"194"	1961-06-27	1961-06-27	1961-06-27	1961-06-27	1973-10-25	"D"
"195"	1955-12-23	1955-12-23	1955-12-23	1955-12-23	1992-08-28	"D"
"196"	1960-04-17	1960-04-17	1960-04-17	1960-04-17	1960-07-20	"D"
"197"	1963-06-20	1963-06-20	1963-06-20	1963-06-20	2000-01-01	"C"
"198"	1969-10-19	1969-10-19	1969-10-19	1969-10-19	1970-01-18	"D"
"199"	1960-08-05	1960-08-05	1960-08-05	1960-08-05	1960-10-04	"D"
"200"	1956-10-25	1956-10-25	1956-10-25	1956-10-25	1958-04-16	"D"
